size,min_val,max_val,time,resolution,stdev
100,1,100000,27200,60,148.324
107,1,100000,27200,80,258.844
114,1,100000,27200,60,122.474
123,1,100000,27300,20,438.178
131,1,100000,27300,60,70.711
141,1,100000,27300,60,173.205
151,1,100000,27100,80,260.768
162,1,100000,27500,60,100.0
173,1,100000,27400,40,89.443
186,1,100000,27500,20,192.354
199,1,100000,27300,60,687.023
213,1,100000,27500,20,151.658
229,1,100000,27500,80,550.454
245,1,100000,27500,40,273.861
263,1,100000,27400,100,826.438
281,1,100000,27500,40,151.658
301,1,100000,27500,100,1006.479
323,1,100000,27600,60,219.089
346,1,100000,27500,80,223.607
371,1,100000,27600,120,114.018
398,1,100000,28400,500,5478.868
426,1,100000,27600,100,216.795
457,1,100000,27800,60,270.185
489,1,100000,27700,80,164.317
524,1,100000,27700,80,200.0
562,1,100000,27700,20,173.205
602,1,100000,27800,80,164.317
645,1,100000,27900,60,939.681
691,1,100000,27900,60,339.116
741,1,100000,28000,40,122.474
794,1,100000,28100,60,465.833
851,1,100000,28100,100,194.936
912,1,100000,28500,40,316.228
977,1,100000,28200,60,250.998
1047,1,100000,28200,60,216.795
1122,1,100000,28300,60,173.205
1202,1,100000,35600,100,1609.969
1288,1,100000,28500,80,1136.662
1380,1,100000,28600,0,207.364
1479,1,100000,28700,20,339.116
1584,1,100000,28900,60,277.489
1698,1,100000,28900,100,364.692
1819,1,100000,29100,60,463.681
1949,1,100000,29900,60,517.687
2089,1,100000,29600,40,482.701
2238,1,100000,29600,60,516.72
2398,1,100000,29700,20,715.542
2570,1,100000,30000,60,465.833
2754,1,100000,30200,100,1056.882
2951,1,100000,30600,80,2514.558
3162,1,100000,30600,60,874.643
3388,1,100000,30800,100,742.967
3630,1,100000,31200,40,770.065
3890,1,100000,31400,60,571.839
4168,1,100000,31700,20,4215.211
4466,1,100000,32100,20,1199.166
4786,1,100000,32500,80,951.315
5128,1,100000,33100,60,2756.266
5495,1,100000,33400,60,858.487
5888,1,100000,33700,60,1141.49
6309,1,100000,34400,80,4017.835
6760,1,100000,34700,80,2449.898
7244,1,100000,35200,40,1052.141
7762,1,100000,36000,20,1457.738
8317,1,100000,36600,60,1525.451
8912,1,100000,46800,80,6309.358
9549,1,100000,38000,40,1188.276
10232,1,100000,38900,20,1121.606
10964,1,100000,40000,60,1044.988
11748,1,100000,40800,40,1553.061
12589,1,100000,41700,60,1446.375
13489,1,100000,42900,100,1324.009
14454,1,100000,44200,80,3659.645
15488,1,100000,45300,80,1935.717
16595,1,100000,46500,60,3469.87
17782,1,100000,48400,60,2956.856
19054,1,100000,49700,80,2780.647
20417,1,100000,51800,60,6761.065
21877,1,100000,53700,80,2367.488
23442,1,100000,54800,40,2534.758
25118,1,100000,57300,80,3243.455
26915,1,100000,60000,40,3409.252
28840,1,100000,61300,60,3050.738
30902,1,100000,64300,60,3919.566
33113,1,100000,66900,60,3514.541
35481,1,100000,69600,80,3570.994
38018,1,100000,72900,60,4403.748
40738,1,100000,76400,80,4868.983
43651,1,100000,89300,100,11343.588
46773,1,100000,86700,80,8718.658
50118,1,100000,88100,100,5559.496
53703,1,100000,92900,80,3809.593
57543,1,100000,97400,80,2728.919
61659,1,100000,112700,80,8239.357
66069,1,100000,112500,100,17583.032
70794,1,100000,116300,60,5748.652
75857,1,100000,134200,100,34667.319
81283,1,100000,140700,100,6162.224
87096,1,100000,141700,60,47416.21
93325,1,100000,147400,100,13131.07
